Domain,LinkedIn Company URL,Twitter URL,Company Name,Last Funding Type,City,Description,Full Description,Category 1,Category 2,Category 3,Last Funded Date,CB Rank
https://www.sandboxaq.com,https://www.linkedin.com/company/sandboxaq,https://x.com/sandboxaq,SandboxAQ,Venture,Palo Alto,SandboxAQ develops AI and quantum technology solutions that enhances cybersecurity and materials science.,"SandboxAQ develops AI and quantum technology products aimed at solving complex challenges. The company integrates knowledge from various fields to create Large Quantitative Models and AI sensing applications. Its focus is on providing practical solutions in areas that require advanced computational techniques. The industries served include financial services, healthcare, and telecommunications.",Artificial Intelligence (AI),Cyber Security,Information Technology,2024-12-18,132
https://character.ai,https://www.linkedin.com/company/character-ai,https://www.twitter.com/character_ai,Character.ai,Series A,Menlo Park,Character.ai provides open-ended conversational applications in which users create characters and converse with them.,"Character.ai provides open-ended conversational applications in which users create characters and converse with them. The company aims to create dialogue agents with a broad range of uses in entertainment, instruction, general question-answering, and other areas. The business specializes in neural language models, which can be used as tools for creativity, idea generation, language learning, and a variety of other tasks. Users can access dialogue agents that are propelled by in-house technology.",Apps,Artificial Intelligence (AI),Generative AI,2023-03-23,156
http://truefoundry.com,https://www.linkedin.com/company/truefoundry,https://x.com/truefoundry,TrueFoundry,Series A,San Francisco,"TrueFoundry is an enterprise platform that helps enterprise teams build, deploy, and manage large language model applications at scale.","TrueFoundry is an enterprise platform that helps enterprise teams build, deploy, and manage large language model applications at scale. Its platform simplifies the end-to-end AI deployment process, offering features like auto-scaling, proactive maintenance, and centralized access controls.",Artificial Intelligence (AI),DevOps,Machine Learning,2025-02-06,158
https://www.ivo.ai,https://www.linkedin.com/company/latchapp,https://twitter.com/latch_app,Ivo,Series A,San Francisco,"Ivo provides AI-powered contract review solutions, automating analysis, redlining, and compliance for legal teams.","Ivo develops a generative AI contracting assistant for legal teams. Its platform helps legal teams reduce the time, effort, and cost spent on negotiating agreements.",Artificial Intelligence (AI),Legal,Legal Tech,2025-02-05,172
https://ssi.inc/,,https://x.com/ssi,Safe Superintelligence,Series A,Palo Alto,"Safe Superintelligence is a building safe intelligence in AI, the most important technical problem of our​​ time.",Safe Superintelligence is an artificial intelligence research lab that solves the technical challenge of building superhuman intelligence. The company operates a dedicated lab to advance capabilities while prioritizing safety through revolutionary engineering.,Artificial Intelligence (AI),Information Technology,Internet,2024-09-04,173
https://www.camouflet.co,https://www.linkedin.com/company/camouflet,,Camouflet,Series A,Los Angeles,Camouflet is an embedded pricing platform that utilizes real-time AI-driven solutions to enhance pricing strategies for businesses.,"Camouflet is an embedded dynamic pricing platform that offers a suite of real-time AI-driven pricing solutions. The platform helps in boosting revenue by providing flexible pricing options tailored to market demands. The company's mission is to equip clients with advanced pricing tools that fuel success in today’s fast-paced market, enabling businesses to capture demand, optimize profitability, and gain a competitive edge.  By driving technological progress, scaling globally, and championing diversity, Camouflet is redefining industry standards.",Artificial Intelligence (AI),Machine Learning,Predictive Analytics,2025-01-28,179
https://enchargeai.com,https://www.linkedin.com/company/encharge-ai,,EnCharge AI,Series B,Santa Clara,EnCharge AI designs analog in-memory-computing AI chips and develops AI systems for AI computing.,"EnCharge AI delivers AI compute solutions that span from edge to cloud, catering to various business needs. The company focuses on providing transformative technology for AI computation, emphasizing efficiency and sustainability. EnCharge AI's offerings enable businesses to utilize advanced AI models without being constrained by power, space, or cost limitations. Their products are designed to support a wide range of applications, facilitating enhanced performance and scalability in AI-driven initiatives. By integrating cutting-edge technology, EnCharge AI aims to streamline the computational demands of modern AI workloads.",Artificial Intelligence (AI),Embedded Software,Semiconductor,2025-02-13,181
https://anysphere.co,https://www.linkedin.com/company/anysphereinc,https://www.twitter.com/anysphere,Anysphere,Series B,San Francisco,Anysphere builds Artificial Intelligence tools and assistants to help humans.,"Anysphere is an applied research lab focused on automating coding through innovative AI solutions. Their goal is to create a hybrid human-AI programmer that enhances coding efficiency and control over complex systems. By combining human ingenuity with advanced technology, Anysphere aims to significantly improve the programming experience for developers.",Artificial Intelligence (AI),Generative AI,Information Technology,2024-12-20,185
https://www.google.com,https://www.linkedin.com/company/google,https://x.com/google,Google,Venture,Mountain View,Google is a multinational corporation that specializes in Internet-related services and organizes the world’s information.,"Google is a multinational technology company focusing on search engine technology, online advertising, cloud computing, computer software, quantum computing, e-commerce, artificial intelligence, and consumer electronics. Their products address a wide range of use cases, including email, navigation, cloud computing, web browsing, video sharing, productivity, operating systems, cloud storage, language translation, photo storage, video calling, smart home, smartphones, wearable technology, music streaming, and more.",Apps,Artificial Intelligence (AI),Cloud Storage,1999-06-07,193
https://tacsecurity.com,https://www.linkedin.com/company/tac-security-solutions,https://twitter.com/tac_security,TAC Security,Venture,San Francisco,"TAC Security is a vulnerability management that protects Fortune 500 companies, large enterprises & governments globally.","TAC Security is a vulnerability management that protects Fortune 500 companies, leading enterprises, and governments.",Artificial Intelligence (AI),Cyber Security,Software,2020-04-03,202
https://www.meltwater.com/,http://www.linkedin.com/company/meltwater-group,http://twitter.com/meltwater,Meltwater,PE,San Francisco,"Meltwater is a social listening platform that offers businesses insights into online reputation, industry trends, and customer behavior.","Meltwater helps companies make better, more informed decisions based on insights from the outside. We believe that business strategy will be increasingly shaped by insights from online data. Organizations will look outside, beyond their internal reporting systems to a world of data that is constantly growing and changing. Meltwater's customers use these insights to make timely decisions based on real-time analysis. More than 25,000 companies use the Meltwater media intelligence platform to stay on top of billions of online conversations, extract relevant insights, and use them to strategically manage their brand and stay ahead of their competition. With more than 50 offices on six continents, Meltwater is dedicated to personal, global service built on local expertise. Meltwater also operates the Meltwater Entrepreneurial School of Technology (MEST), a nonprofit organization devoted to nurturing future generations of entrepreneurs.",Analytics,Artificial Intelligence (AI),Data Integration,2023-12-18,216
https://www.fal.ai,https://www.linkedin.com/company/features-and-labels,https://twitter.com/fal,Fal,Series B,San Francisco,Fal is a generative media platform that helps developers create applications using AI models.,"Fal is a generative media platform that focuses on providing developers with tools for creating audio, video, and images using artificial intelligence. The platform enables users to generate media content quickly and efficiently, streamlining the creative process. Fal offers a suite of features that supports rapid inference, allowing developers to implement AI-generated media in their projects seamlessly. By prioritizing speed and efficiency, Fal facilitates innovation in media creation for various applications, catering to the needs of developers looking to enhance their creative workflows.",Artificial Intelligence (AI),Developer Platform,Information Technology,2025-02-12,228
https://lumalabs.ai,https://www.linkedin.com/company/luma-ai,https://twitter.com/lumalabsai,Luma AI,Series B,Palo Alto,Luma AI is a generative AI startup that enables users to transform text descriptions into corresponding 3D models.,"Luma AI is a generative AI startup that enables users to transform text descriptions into corresponding 3D models. Luma AI aims to empower individuals to effortlessly capture and immerse themselves in a realistic 3D representation of the world. The mission is to catalyze a significant advancement in how we share memories, explore products, and navigate online spaces. The goal is to propel photos and videos into the realm of mixed-reality, shaping the way we experience a three-dimensional future.",3D Technology,Artificial Intelligence (AI),Augmented Reality,2024-12-06,238
http://www.impetus.com,http://www.linkedin.com/company/impetus,http://twitter.com/impetustech,Impetus Technologies,PE,Los Gatos,"Impetus Technologies is a digital engineering company that provides data, analytics, and enterprise AI solutions.","Impetus Technologies is a software products and services company focused on creating powerful and intelligent enterprises through deep data awareness, data integration and advanced data analytics. Our products and services are designed to empower the real-time data-driven enterprise, to help our clients win in the modern world of digital transformation.

Impetus is proud to partner with such Fortune 100 clients as American Express, Bank of America, Capital One, Fannie Mae, McKesson, Toyota, United Airlines, Verizon and more. The company is headquartered in Los Gatos, California with international offices in India, Australia and Canada.",Analytics,Artificial Intelligence (AI),Big Data,2025-01-16,239
https://you.com,https://www.linkedin.com/company/youdotcom,https://twitter.com/YouSearchEngine,You.com,Series B,Palo Alto,You.com is an AI chatbot and search engine that uses LLM to deliver personalized responses to queries with human-like replies.,"You.com, founded by top AI research scientists, is a revolutionary AI chatbot and search engine. You.com uses a Large Language Model (LLM) to deliver personalized responses to queries with human-like replies. Its AI tools YouChat, YouCode, YouWrite, and YouImagine provide efficient web search, content and image creation, and code generation. With advanced machine learning, You.com streamlines answers to complex questions, aids in tasks, and supports research with citations and up-to-date information, enhancing productivity and saving time.",Artificial Intelligence (AI),Chatbot,Generative AI,2024-06-17,240
https://voyantis.ai,https://www.linkedin.com/company/66924899,https://twitter.com/Voyantis1,Voyantis,Series B,Tel Aviv,Voyantis is a provider of an AI-driven growth platform for customer acquisition and lifecycle optimization.,"Voyantis is a provider of an AI-driven growth platform for customer acquisition and lifecycle optimization. The company allows businesses to acquire, retain, and nurture high-value customers with precision and efficiency. It integrates predictive and prescriptive AI to eliminate the guesswork traditionally involved in assessing a customer’s potential value and delivers the user automated actions on the next steps and execution timing.",Artificial Intelligence (AI),Marketing,Predictive Analytics,2025-02-11,242
https://pipeshift.com,https://www.linkedin.com/company/pipeshift,https://x.com/pipeshiftai,Pipeshift,Seed,San Francisco,Pipeshift is an AI infrastructure startup that develops a modular orchestration platform to provide contextual answers to queries.,"Pipeshift is a modular orchestration platform for building with open-source AI components—embeddings, vector databases, LLMs, vision models, and audio models—across any cloud or on-premise. Enterprises get to deploy their AI workloads in production faster and more reliably.",Artificial Intelligence (AI),Cloud Infrastructure,Generative AI,2025-01-23,245
http://mercor.com,https://www.linkedin.com/company/mercor-ai,https://twitter.com/Mercor_ai,Mercor,Series B,San Francisco,Mercor is an AI-based hiring platform designed to improves the recruitment process for both job seekers and companies.,"Mercor is a tech company that focuses on helping individuals secure jobs through its AI-driven platform. It leverages artificial intelligence to match job seekers with potential employers by analyzing skills and experiences, reducing the time spent job searching. Users complete a 20-minute interview and can apply to numerous companies simultaneously, streamlining the recruitment process for both candidates and businesses.",Artificial Intelligence (AI),Machine Learning,Recruiting,2025-01-27,253
https://www.bioptimus.com,https://www.linkedin.com/company/bioptimus,https://twitter.com/bioptimus_ai,Bioptimus,Series A,Paris,Bioptimus is an AI company that offers a foundation model for biology to fuel breakthrough discoveries and accelerate.,"Bioptimus develops a universal AI foundation model designed to integrate biological data from molecules to organisms. The company utilizes unique multiscale data, advanced computing power, and a team of experts to enhance understanding of complex biological processes.",Artificial Intelligence (AI),Biotechnology,Generative AI,2025-01-14,256
https://www.spotdraft.com,https://www.linkedin.com/company/spotdraft,https://twitter.com/spotdraftHQ,SpotDraft,Series B,Bangalore,SpotDraft is a contract automation platform that manages the entire contract lifecycle.,"SpotDraft is an AI-driven contract management and automation solution designed for fast-growing companies. It offers end-to-end contract management services for legal, sales, marketing, human resources, business operations, and procurement teams. With its best-in-class platform, SpotDraft acts as a co-pilot for legal teams, helping them optimize the contract management process by eliminating inefficiencies and reducing repetitive tasks.

Streamline your contracting process with an intuitive interface, intelligent contract repository, customizable templates and workflows, and much more. SpotDraft integrates with popular SaaS tools, such as Salesforce, HubSpot, Slack, and Google Drive, delivering a seamless experience for global businesses, including Airbnb, Notion, STRAVA, Beamery, and Fidelity International. 

Founded in 2017 by a Harvard law graduate and two Carnegie Mellon computer engineers, SpotDraft raised $26 million in Series A funding in 2023 to further enhance its platform, expand its team, and accelerate growth.",Artificial Intelligence (AI),Legal,Legal Tech,2025-02-12,258
https://www.rezolve.ai/,https://www.linkedin.com/company/rezolveai,https://twitter.com/actionable_sci,Rezolve AI,Series A,Dublin,Rezolve AI platform implements AI-powered auto resolution skills to deliver a highly autonomous employee servicing experience.,"Rezolve AI platform implements AI-powered auto resolution skills to deliver a highly autonomous employee servicing experience. Rezolve AI provides a top-notch auto-resolution and microlearning platform, Rezolve. Its AI-powered virtual assistance has pre-built ""auto-resolution"" skills to automate customer help desks, internal onboarding and training programs, and knowledge management platforms.",Artificial Intelligence (AI),Computer,Human Resources,2023-02-09,310
https://cyble.com,https://www.linkedin.com/company/cyble-global,https://twitter.com/cybleglobal,Cyble,Series B,Cupertino,"Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.","Cyble provides the fastest and most comprehensive coverage across adversaries, infrastructure, exposure, weaknesses, and targets.

Cyble empowers governments and enterprises to safeguard their citizens and infrastructure by providing critical intelligence in a timely manner and enabling rapid detection, prioritization, and remediation of security threats through its advanced capabilities for data analysis, expert insights, and automated processes

Headquartered in Cupertino, California, with offices in Australia, Malaysia, Singapore, Dubai, Saudi Arabia, and India, Cyble has a global presence. To learn more about Cyble, visit www.cyble.com.

w: cyble.com / getodin.com / thecyberexpress.com / amibreached.com",Artificial Intelligence (AI),Cloud Security,Cyber Security,2023-11-14,316
https://www.together.ai,https://www.linkedin.com/company/togethercomputer,https://twitter.com/togethercompute,Together AI,Series A,San Francisco,Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models.,"Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models. The company contributes cutting-edge open-source research, models, and datasets to push the boundaries of AI forward. Through its decentralized cloud services, developers and researchers at organizations of various scales are empowered to train, refine, and deploy generative AI models.",Artificial Intelligence (AI),Generative AI,Internet,2024-03-13,317
https://www.furiosa.ai,https://www.linkedin.com/company/furiosaai/,https://twitter.com/FuriosaAI,FuriosaAI,Venture,Seoul,FuriosaAI designs and develops data center accelerators for the most advanced AI models and applications.,FuriosaAI delivers the performance for real-time AI services while achieving energy efficiency for the lowest operation cost at scale. They build the entire product on a solid core foundation because AI chips on the ground are doomed to fail when it comes to addressing the complex and rapidly changing requirement metrics of hyper scalers and enterprises.,Analytics,Artificial Intelligence (AI),Big Data,2025-02-03,324
https://www.wiselayer.com/,https://www.linkedin.com/company/wiselayer/about/,,WiseLayer,Seed,New York,WiseLayer makes AI-powered digital workers for finance and accounting teams.,"WiseLayer makes AI-powered digital workers for finance and accounting teams. 

It's AI digital workforce includes:
- Angela, the AI agent for Accruals & Rev Rec (hire her at www.accruals.ai)
- Dennis, the AI agent for Discrepancies & Financial Anomalies (hire him at www.discrepancies.ai)
- … with 4 additional AI agents each specializing in the following tasks: (1) bank reconciliations, (2) fixed asset depreciation & amortization, (3) lease accounting, and (4) prepaid expenses.",Artificial Intelligence (AI),FinTech,,2025-01-28,327
https://inflection.ai,https://www.linkedin.com/company/inflectionai,https://www.twitter.com/inflectionai,Inflection AI,Venture,Palo Alto,Inflection AI is an artificial intelligence startup that develops personal AI chatbots.,Inflection AI is a machine learning startup that engages in redefining human-computer interaction. The company addresses the issue that people have to reduce their demands on computers and adapt their language to what machines can understand.,Artificial Intelligence (AI),Chatbot,Generative AI,2023-06-29,335
https://www.overland.ai,https://www.linkedin.com/company/overland-ai,https://x.com/overland_ai_x,Overland AI,Series A,Seattle,Overland AI is a manufacturer and developer of autonomous navigation for off-road autonomous vehicles.,"Overland AI is a manufacturer and developer of autonomous navigation for off-road autonomous vehicles. Its technology combines machine learning and robotic systems to offer modular software for autonomous navigation of unimproved roads and off-road terrain. The company's autonomy kit and overdrive stack enable ground vehicles to navigate off-road without GPS or direct operator control, while its OverWatch C2 provides commanders with precisely coordinated capabilities that are vital for complex missions to succeed.",Artificial Intelligence (AI),Autonomous Vehicles,Machine Learning,2025-01-13,340
https://www.langchain.com,https://www.linkedin.com/company/langchain,https://twitter.com/LangChainAI,LangChain,Series A,San Francisco,LangChain enables developers to accelerate their LLM application workflows by overseeing the entire project lifecycle.,"LangChain is a language model application development library that develops a language model framework to power applications that integrate with other sources of data and interact with their environment. Its platform also offers support for various model types, prompt management, memory, indexing, chains, and agents to help developers create generative artificial intelligence like personal assistants, question-answering bots, chatbots, and data querying.",Artificial Intelligence (AI),Database,Developer APIs,2024-02-15,342
https://www.traceable.ai,https://www.linkedin.com/company/traceable-ai,https://twitter.com/traceableai,Traceable,Venture,San Francisco,Traceable is an API security company that helps to mitigate risks and optimize the value derived from their APIs for customers.,"Traceable is an API Security company that helps organizations achieve API protection in a cloud-first, API-driven world. With an API Data Lake at the core of the platform, Traceable is the only intelligent and context-aware solution that powers complete API security – security posture management, threat protection, and threat management across the entire Software Development Lifecycle – enabling organizations to minimize risk and maximize the value that APIs bring to their customers.",Artificial Intelligence (AI),Cyber Security,Fraud Detection,2024-05-01,359
https://www.ataccama.com/,https://www.linkedin.com/company/ataccama,https://twitter.com/ataccama,Ataccama,Venture,Toronto,"Ataccama is an AI-powered enterprise platform for metadata, combining data quality, master data management, and integration.","Ataccama reinvents the way data is managed to create value on an enterprise scale. Unifying Data Governance, Data Quality, and Master Data Management into a single, AI-powered fabric across hybrid and Cloud environments, Ataccama gives business and data teams the ability to innovate with unprecedented speed while maintaining trust, security, and governance of your data.",Analytics,Artificial Intelligence (AI),Business Intelligence,2022-06-22,368
https://replit.com,https://www.linkedin.com/company/repl-it,https://twitter.com/replit,Replit,Venture,San Francisco,Replit is a browser-based integrated development environment for cross-platform collaborative coding.,"Replit is a browser-based integrated development environment (IDE) built for cross-platform collaborative coding. With assistance from more than 50 programming languages, it can be utilized to construct apps and websites via a browser on any working system or system (together with cell), with the added skill to share initiatives and create communal workspaces, and grant entry to containers for executing code.

The company was founded in 2016 and is headquartered in San Francisco, California.",Artificial Intelligence (AI),Cloud Computing,Developer Tools,2023-11-06,373
https://www.protectai.com,https://www.linkedin.com/company/protect-ai,https://x.com/protectaicorp,Protect AI,Series B,Seattle,Protect AI is a cybersecurity company that helps in managing security risks and defending against AI security threats.,"Protect AI is the leader of AI Security. Protect AI addresses unique enterprise AI security concerns with a comprehensive suite of products for advanced AI scanning, robust LLM security, and GenAI red teaming that operate on one enterprise ready platform. By integrating with existing AI and security operations, Protect AI enables organizations  to safeguard AI investments, enhance operational efficiency,  adopt MLSecOps and adhere to global and US data security and privacy standards. Founded by AI leaders from Amazon and Oracle, Protect AI is backed by top investors, including Acrew Capital, boldstart ventures, Evolution Equity Partners, Knollwood Capital, Pelion Ventures, 01 Advisors, Samsung, StepStone Group, and Salesforce Ventures. The company is headquartered in Seattle, with offices in Berlin and Bangalore.",Artificial Intelligence (AI),Cyber Security,Machine Learning,2024-08-02,378
https://harmonic.fun,https://www.linkedin.com/company/harmonicmath,https://x.com/HarmonicMath,Harmonic,Series A,Palo Alto,Harmonic develops mathematical reasoning engine designed to tackle complex mathematical problems using AI technology.,"Harmonic builds mathematical superintelligence. The company develops Mathematical Superintelligence (MSI), a next-generation artificial intelligence based on mathematical principles that ensures accuracy and eliminate hallucinations.",Artificial Intelligence (AI),EdTech,Software,2024-09-23,387
https://kinara.ai,https://www.linkedin.com/company/kinaraai,https://twitter.com/kinara_ai,Kinara,Series B,Santa Clara,"Kinara develops low-power, energy-efficient, and programmable discrete neural processing units to deploy edge AI applications.","Kinara develops low-power, energy-efficient, and programmable discrete neural processing units to deploy edge AI applications. These devices enable a range of edge AI applications, including multi-modal generative AI models.",Artificial Intelligence (AI),Computer Vision,Semiconductor,2021-09-14,394
https://hireborderless.com,https://www.linkedin.com/company/hireborderless,,Borderless AI,Seed,Toronto,"Onboard, manage, and pay your international team in one platform. AI-powered global employment law assistance.","Borderless AI is a global payroll solution that leverages the power of generative AI to automate and speed up the process of on-boarding, managing, and paying international team members.

Learn more at: hireborderless.ai",Artificial Intelligence (AI),Compliance,Employment,2025-01-16,407
https://bitscrunch.com,https://www.linkedin.com/company/bitscrunch,https://twitter.com/bitsCrunch,bitsCrunch,Series A,Munich,bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics protocol,"AI-enhanced decentralized data networks delivering unmatched analytics and forensics for NFTs, wallets, and other digital assets on the public blockchain.",Analytics,Artificial Intelligence (AI),Blockchain,2024-01-23,414
https://savantlabs.io,https://www.linkedin.com/company/savant-labs,,Savant Labs,Series A,San Carlos,"Savant Labs offers cloud-based, AI-powered analytics automation solutions for businesses.","Savant Labs provides an intuitive analytics automation platform that empowers users to perform data analysis with no-code and low-code tools. The platform integrates modern data sources and SaaS applications, enabling rapid insights through visual workflows and generative AI.",Analytics,Artificial Intelligence (AI),Big Data,2025-01-30,423
https://waabi.ai,https://www.linkedin.com/company/waabi,https://twitter.com/Waabi_ai,Waabi,Series B,Toronto,Waabi is an artificial intelligence company that develops autonomous driving technology for the transportation sector.,"Waabi is an artificial intelligence company that develops autonomous driving technology for the transportation sector. It offers a self-driving solution known as the Waabi Driver, designed for integration with trucks and aimed at large-scale commercialization and safe deployment. The company primarily serves the logistics and transportation industries with its autonomous trucking solutions

The company was founded in 2021 by Raquel Urtasun and is based in Toronto, Canada.",Artificial Intelligence (AI),Automotive,Autonomous Vehicles,2024-06-18,424
http://www.nayya.com,https://www.linkedin.com/company/nayya,https://twitter.com/Nayya_Inc,Nayya,Venture,New York,"Nayya is a benefits experience platform that provides decision support and guidance during enrollment, and new employee onboarding.","At Nayya, we believe there’s a better way to choose and use benefits. A more transparent, less confusing way for employees to control their health and financial potential. Powered by billions
of data points and machine learning, our benefits experience platform delivers personalized decision support and guidance during open enrollment, new employee onboarding, qualifying life events, and in the moments that matter all year round. This is one of the most stressful and challenging situations consumers face – and we see that as an opportunity to build an innovative response that can help millions of Americans possess the control and understanding they deserve. Join the consumers and their employers that are now living with more peace and confidence at Nayya.com.",Artificial Intelligence (AI),Employee Benefits,Finance,2024-08-08,452
https://clarity.ai,https://www.linkedin.com/company/clarity-ai,https://twitter.com/clarityaieng,Clarity AI,Venture,New York,Clarity AI is a sustainability technology platform that uses machine learning to deliver environmental and social insights to investors.,"Clarity AI is a sustainability technology platform that uses machine learning and big data to deliver environmental and social insights to investors and organizations. As of December 2021, Clarity AI’s platform analyzes more than 30,000 companies, 135,000 funds, 198 countries and 187 local governments, and delivers data and analytics for investing, corporate research and reporting. Clarity AI has offices in the US and Europe. Clarity AI’s client network manages trillions in assets under management.",CleanTech,Finance,Financial Exchanges,2021-12-02,454
https://www.yokoy.ai,https://www.linkedin.com/company/yokoy,https://twitter.com/yokoy_ai,Yokoy,Series B,Zürich,"Yokoy is a FinTech company that offers a spend management platform that automates expense, invoicing, and credit card processing.","Yokoy is a FinTech company that automates spend management for medium and large enterprises with artificial intelligence, combining expense management, supplier invoice management, and smart corporate cards into one single intuitive platform. Powered by machine learning and developed in its own cutting-edge AI research lab, the platform also constantly monitors individual workflows and processes to make them more efficient and impactful over time.

In March 2019, Yokoy Group AG was created as Expense Robot GmbH.",Artificial Intelligence (AI),Finance,Financial Services,2022-03-29,462
